"topic","name_vi","id","subject","status","file","sha256","review_note"
"beekeeping","Nghề nuôi ong","bee-feeding-jar","An inverted glass bee feeding jar on a small yellow hive feeder base","alpha_verified","stickers/beekeeping/bee-feeding-jar.png","2A08D47DFC225572F0E6955E10DC213BA1863025A6552D3B64AD22786E5AD554",
"honey-breakfast","Bữa sáng với mật ong","honey-dipper","A wooden honey dipper with a small ribbon of golden honey","alpha_verified","stickers/honey-breakfast/honey-dipper.png","AAA0809D420432AF0CB003E85E27CD7D26A335BA84E87C8E395209C7145C449C",
"honey-breakfast","Bữa sáng với mật ong","honey-pancakes","A short stack of fluffy pancakes topped with butter and a light drizzle of honey","needs_alpha","_needs-alpha/honey-breakfast/honey-pancakes.png","C4BAA8C11610C7895DE7B0E72CE57AEB1C52CF941AE468614CF5683111BC0185",
"honey-breakfast","Bữa sáng với mật ong","honey-waffles","A golden square waffle with banana slices and a light honey drizzle","needs_alpha","_needs-alpha/honey-breakfast/honey-waffles.png","121E9A3A8615EACBE4F400A8AF70161FE3428A5A3B2DC3F6C80B18EE1C660390",
"honey-breakfast","Bữa sáng với mật ong","honey-parfait","A clear breakfast parfait glass with yogurt, granola and a golden honey layer","needs_alpha","_needs-alpha/honey-breakfast/honey-parfait.png","DAD408BA92D2D5670E60682267357DC926E1007BE7F053261F344F26204C6BCD",
"honey-breakfast","Bữa sáng với mật ong","honey-toast","A slice of toast topped with ricotta, figs and a light drizzle of honey","needs_alpha","_needs-alpha/honey-breakfast/honey-toast.png","FEB0FB99EED85E7258E8058C4063B45525A39CE33F73D05653A061082EF05C50",
"honey-breakfast","Bữa sáng với mật ong","honey-crumpet","A round porous breakfast crumpet topped with a small pool of honey","alpha_verified","stickers/honey-breakfast/honey-crumpet.png","D2405C79221CD27BF95343B19E9023AE9D7E4E0CD36C0FBD94E0D141FCA985C6",
"honey-breakfast","Bữa sáng với mật ong","honey-butter-dish","A small butter dish holding pale golden whipped honey butter","needs_alpha","_needs-alpha/honey-breakfast/honey-butter-dish.png","109962ABA8172BA7E9463D857E532F0142FA50A836E9FA6B3ECFAC8FB3D2275C",
"honey-breakfast","Bữa sáng với mật ong","honey-lemon-tea","A clear mug of amber honey tea with one lemon slice and a cinnamon stick","needs_alpha","_needs-alpha/honey-breakfast/honey-lemon-tea.png","C1D98493626B1C7ABECDDFA192879049C61162B61E310BB6EFDB5908E1677568",
"pottery-studio","Xưởng gốm","terracotta-amphora","A small unglazed terracotta amphora with two handles and a simple dark geometric band","alpha_verified","stickers/pottery-studio/terracotta-amphora.png","851D6CC995DC7AE58041EC79B014DBA2D10AD7AB384F82FA9FE74E2ABDD2BEE7",
"pottery-studio","Xưởng gốm","pottery-wheel","A compact pottery wheel with one unfinished terracotta bowl centered on its round wheel head","needs_alpha","_needs-alpha/pottery-studio/pottery-wheel.png","F61474D53FA17DDAAC4F4CC1BF4C326CE8DE7885BA97DFB3970A59D9F4767479",
"pottery-studio","Xưởng gốm","wet-clay-lump","A moist brown lump of pottery clay with one thumb indentation","alpha_verified","stickers/pottery-studio/wet-clay-lump.png","618DE20E014991A91B3A95AD50DDDE1E365D33B6CE11D503041BC31DC4EE5BCE",
"pottery-studio","Xưởng gốm","potter-rib-tool","A kidney shaped wooden potter's rib tool with one round finger hole","alpha_verified","stickers/pottery-studio/potter-rib-tool.png","C408124E04E32F605EA9752B4688D6B99C0FBA73A5DC6DC53E5A56778E130D6A",
"pottery-studio","Xưởng gốm","clay-wire-cutter","A curved pottery cutting wire connecting two small wooden handles","alpha_verified","stickers/pottery-studio/clay-wire-cutter.png","56B234E0846F08F1D8420BE69B7AABD2A569DECB76D0BDDC831BFB3DD1049C03",
"pottery-studio","Xưởng gốm","loop-trimming-tool","A wooden handled pottery trimming tool with a rounded metal loop","alpha_verified","stickers/pottery-studio/loop-trimming-tool.png","7ECA10FC7C044203714E6C45B44E2978C2F6D5606761D0F42A176369E9379BE1",
"pottery-studio","Xưởng gốm","glazing-brush","A thick pottery glazing brush with a bamboo handle and broad soft bristles","alpha_verified","stickers/pottery-studio/glazing-brush.png","D07265DB235F4AE75D9038FF5FDABF1AA77634AAE90752E4C02E752F59B2D41B",
"pottery-studio","Xưởng gốm","ceramic-kiln","A small brick pottery kiln with an arched front opening, a clay vase on a shelf and a short chimney","needs_alpha","_needs-alpha/pottery-studio/ceramic-kiln.png","FAF2D2721F74BD99281A8D10C68BF7AEC2DD7A48C184D8C0BB5D7554C8358E14",
"archaeology","Khảo cổ học","terracotta-amphora","A small unglazed terracotta amphora with two handles and a simple dark geometric band","alpha_verified","stickers/archaeology/terracotta-amphora.png","851D6CC995DC7AE58041EC79B014DBA2D10AD7AB384F82FA9FE74E2ABDD2BEE7",
"archaeology","Khảo cổ học","excavation-trowel","An archaeologist's short triangular excavation trowel with a worn wooden handle","alpha_verified","stickers/archaeology/excavation-trowel.png","F05D3C861089D265FA2A306B9F1ADFC6164B6DFA64C72B9514D5BD3B33883A8A",
"archaeology","Khảo cổ học","archaeology-sieve","A square wooden archaeology sieve with wire mesh and a few small stones","alpha_verified","stickers/archaeology/archaeology-sieve.png","1CC354E99A2EDFEF3AAB7A5D93F3326C8EDAFA38B67F0C39D4996EA184AF8265",
"archaeology","Khảo cổ học","artifact-brush","A small archaeological dusting brush with a short dark handle and rounded bristles","alpha_verified","stickers/archaeology/artifact-brush.png","6939C34D68725613BF9DCDF230668AA565DAB30643F924E1A1DC6E0134DB0365",
"archaeology","Khảo cổ học","stratigraphy-block","A cutaway earth block showing four clearly colored archaeological soil layers","alpha_verified","stickers/archaeology/stratigraphy-block.png","2DBFF40CD3C7E0E2F957780869AEA65F9438E39A55F4B7574C92100BCE9A56FC",
"archaeology","Khảo cổ học","stone-tablet","An ancient chipped stone tablet with simple abstract incised pictographs","alpha_verified","stickers/archaeology/stone-tablet.png","81395C5D488A87CC06169D29A109ED39DC8071E5BD133120F4DA288841CDB38F",
"archaeology","Khảo cổ học","mosaic-fragment","A broken ancient mosaic fragment with a blue and cream geometric pattern","alpha_verified","stickers/archaeology/mosaic-fragment.png","119E1C438AC5F8C097DB3B393A9340C69E76FD273F021BD2FD2510572212DB9C",
"archaeology","Khảo cổ học","amphitheatre-model","A small freestanding ruin of a circular stone amphitheatre","alpha_verified","stickers/archaeology/amphitheatre-model.png","59EF36410F8218B63E175D5BB2BC2EB6379556839EEEF63C6B8F82004BBE695F",
"sewing-room","Góc may vá","tailor-dress-form","A plain cream tailor's dress form torso on a brown wooden stand","alpha_verified","stickers/sewing-room/tailor-dress-form.png","BCE522AD2BD2037A7056F523CE5F2ED9AC0626BC1F069B98EAAE960445919D7A","White cut margin reaches the top canvas edge; needs clear top padding."
"sewing-room","Góc may vá","sewing-machine","A small vintage mint green sewing machine with a small fabric scrap under its needle","needs_alpha","_needs-alpha/sewing-room/sewing-machine.png","5F635A733544B991A93E45C033811A4E82CD7E790C3D20B0561F9F68AE785076",
"sewing-room","Góc may vá","tomato-pincushion","A red tomato shaped pincushion with several colored pin heads","alpha_verified","stickers/sewing-room/tomato-pincushion.png","9AD638AD370BBAD19162D6FBD3B0EF0B882D49FA328C28B8F5E9D2347144E7C1",
"sewing-room","Góc may vá","fabric-shears","A pair of heavy tailor's fabric shears with dark handles","alpha_verified","stickers/sewing-room/fabric-shears.png","445A49A0E1EA05F3292D0210400F19B22149E3D0542FEE6304E0422C2F209640","Left scissor blade and sticker margin touch the canvas edge. Reframe with clear padding and clean inner handle holes."
"sewing-room","Góc may vá","seam-ripper","A small sewing seam ripper with a pink handle and forked metal tip","alpha_verified","stickers/sewing-room/seam-ripper.png","53A81091DB006F61674867916FB5E66AD0EEF9AABE19810CAE935A22851A0E7D",
"sewing-room","Góc may vá","tape-measure-coil","A loosely coiled yellow tailor's measuring tape with simple tick marks, no readable numbers","alpha_verified","stickers/sewing-room/tape-measure-coil.png","46262125C29DF18D02933E7A65E80A3A6261C870C1C6F0AEA56982C923286CAC",
"sewing-room","Góc may vá","thread-spool-rack","A small wooden rack holding six pastel sewing thread spools","alpha_verified","stickers/sewing-room/thread-spool-rack.png","ABEEF31C7565B4D89F7F3CFDD91194DB27C8F234DC3C50F3FF60B0AB2CA818D2",
"sewing-room","Góc may vá","sewing-zipper","A partially open teal clothing zipper with a simple metal pull","needs_alpha","_needs-alpha/sewing-room/sewing-zipper.png","DC390BBB8471FF56EE0FA751C99E2D3E6536D3CD3A818F9F69C52586EFA0D2C2",
"theatre-backstage","Hậu trường sân khấu","tailor-dress-form","A plain cream tailor's dress form torso on a brown wooden stand","alpha_verified","stickers/theatre-backstage/tailor-dress-form.png","BCE522AD2BD2037A7056F523CE5F2ED9AC0626BC1F069B98EAAE960445919D7A","White cut margin reaches the top canvas edge; needs clear top padding."
"theatre-backstage","Hậu trường sân khấu","theatre-masks","A pair of classic comedy and tragedy theatre masks, warm ivory and muted red","alpha_verified","stickers/theatre-backstage/theatre-masks.png","DAC97FE774372242C18F6D141ABB4F1984E0CEE5CE2EFBA59552F31B59347942",
"theatre-backstage","Hậu trường sân khấu","stage-spotlight","A black theatrical stage spotlight with four barn doors on a small support","needs_alpha","_needs-alpha/theatre-backstage/stage-spotlight.png","AA385650FAE04921F1CF15D4AB59AD9BECBB18A40ADEE1A08744F0DEC80925DD",
"theatre-backstage","Hậu trường sân khấu","red-theatre-curtain","A pair of parted red velvet theatre curtains with gold tiebacks, no background","alpha_verified","stickers/theatre-backstage/red-theatre-curtain.png","17383D2C33F03ED8675AA1B69CCC56FE960F5D853D8CC61A8EF2D9B68AFDA2D8",
"theatre-backstage","Hậu trường sân khấu","theatre-ticket","Two cream theatre admission tickets with a small mask emblem, no readable writing","needs_alpha","_needs-alpha/theatre-backstage/theatre-ticket.png","F86B858C0DF256636A4A1F4BADA10B6B7DF732D227AE71EE1B8EA9FEA2BD1470",
"theatre-backstage","Hậu trường sân khấu","proscenium-stage-model","A miniature wooden theatre stage with an arch and small empty raised platform","needs_alpha","_needs-alpha/theatre-backstage/proscenium-stage-model.png","018D84F24E66F64146A8DF6367DF4AA3B6ED8335F535F65267781E747BEE8B4C",
"theatre-backstage","Hậu trường sân khấu","opera-binoculars","A pair of small cream and brass opera binoculars with a short handle","needs_alpha","_needs-alpha/theatre-backstage/opera-binoculars.png","195F1EC87B196C02456A27A9CEE351F3E73A81E7741883C94A253A291579226F",
"theatre-backstage","Hậu trường sân khấu","theatrical-mustache","A curled black theatrical false mustache attached to a thin wooden prop stick","alpha_verified","stickers/theatre-backstage/theatrical-mustache.png","5AF7DC55D18CFD2482B99EF8795DF2C0F113E4CFF1D742BAA5AF6271D0B13E35",
"forest-fungi","Nấm rừng","mushroom-basket","A low wicker foraging basket holding three varied woodland mushrooms","needs_alpha","_needs-alpha/forest-fungi/mushroom-basket.png","46062297B2052BB487D815860CD77B6E1530A08E33328AA597F9013A89498005",
"forest-fungi","Nấm rừng","fly-agaric","A red fly agaric mushroom with cream spots and a thick pale stem","alpha_verified","stickers/forest-fungi/fly-agaric.png","086C5B03B2BC49485459CDFD15B9DB2B934F7BBE4C3684A296F4AC69FD955FA7",
"forest-fungi","Nấm rừng","chanterelle","A cluster of three golden chanterelle mushrooms with funnel shaped caps","needs_alpha","_needs-alpha/forest-fungi/chanterelle.png","F9EB1129DC3E61D34B55AF164A00C361A5F0E70FEC659A85311A6D822CF93D20",
"forest-fungi","Nấm rừng","morel","A brown morel mushroom with a tall honeycomb textured cap","needs_alpha","_needs-alpha/forest-fungi/morel.png","F2D9D5EC7278188CADFB943D98A4DE4307B1987CED37E6D73808A1577B7F984F",
"forest-fungi","Nấm rừng","oyster-mushroom","A layered cluster of pale gray oyster mushrooms growing from one short stem base","needs_alpha","_needs-alpha/forest-fungi/oyster-mushroom.png","5226CCEC2542D26073522D3960518B3657D29B252F5BBCD83D5ACB16DA320D67",
"forest-fungi","Nấm rừng","porcini","A stout porcini mushroom with a broad brown cap and thick cream stem","needs_alpha","_needs-alpha/forest-fungi/porcini.png","E83915A023B2BFDC4F26A20FDC20E724941420AB739D8F528A6C28C07E75F965",
"forest-fungi","Nấm rừng","lions-mane-mushroom","A cream lion's mane mushroom forming a soft ball of cascading fine spines","needs_alpha","_needs-alpha/forest-fungi/lions-mane-mushroom.png","000135D592F0A561F6FDA5B08A6AF3D51CF28E11DA4096782A3E98845B0982EB",
"forest-fungi","Nấm rừng","coral-fungus","A small golden coral fungus with many rounded branching tips","needs_alpha","_needs-alpha/forest-fungi/coral-fungus.png","3DA312A6D0D7AB2E3548D0E32643E9C727857EC10F598BCC9FE01AA9389F71C7",
"woodland-foraging","Hái lượm trong rừng","mushroom-basket","A low wicker foraging basket holding three varied woodland mushrooms","needs_alpha","_needs-alpha/woodland-foraging/mushroom-basket.png","46062297B2052BB487D815860CD77B6E1530A08E33328AA597F9013A89498005",
"woodland-foraging","Hái lượm trong rừng","foraging-knife","A folding mushroom knife with a curved blade and brush at the handle end","needs_alpha","_needs-alpha/woodland-foraging/foraging-knife.png","D8D10B1F8AF468E97CCC0811959CEA1E9C047D37BED36434F6FA988BFDF00D8A",
"woodland-foraging","Hái lượm trong rừng","wild-blackberry-branch","A short blackberry branch carrying ripe purple berries and serrated green leaves","needs_alpha","_needs-alpha/woodland-foraging/wild-blackberry-branch.png","51D923B61EF60DC539FC2C1B1BBF3EC9498D2C84DA43E33CE87E977ADA5E007D",
"woodland-foraging","Hái lượm trong rừng","wild-chestnut","An opened spiky green chestnut husk revealing two smooth brown chestnuts","needs_alpha","_needs-alpha/woodland-foraging/wild-chestnut.png","9193FE5CC134A583DD70C906549C8354932F366DAD74CEB889236646EB306F7C",
"woodland-foraging","Hái lượm trong rừng","wild-rosehips","A short twig carrying orange rosehips and a few small green leaves","needs_alpha","_needs-alpha/woodland-foraging/wild-rosehips.png","9309D4517ABB8A7169FDCDDB4B8692C2D19761F8C0B2367F3F5BD65447516E6D",
"woodland-foraging","Hái lượm trong rừng","wild-garlic-bundle","A small tied bundle of broad wild garlic leaves with white star shaped flowers","needs_alpha","_needs-alpha/woodland-foraging/wild-garlic-bundle.png","FD6E836B1F6B7077D311D16BB523C85A308FEDDF8DD8A74B2BA25B1AC74141D3",
"woodland-foraging","Hái lượm trong rừng","fiddlehead-ferns","Three fresh green fiddlehead fern shoots with tightly curled tips","needs_alpha","_needs-alpha/woodland-foraging/fiddlehead-ferns.png","B7D1CAAAE6AD9D5D8402D19ED1093FB8480250D6E50A46671B0057A902F77D6B",
"woodland-foraging","Hái lượm trong rừng","foraging-field-guide","An open pocket field guide displaying a mushroom sketch and a leaf sketch, no writing","needs_alpha","_needs-alpha/woodland-foraging/foraging-field-guide.png","78F6A881C413367FC5FC2646C2108ADD791E49F51F68ADF52CC4FD8F1751EAD1",
"terrarium-workshop","Làm terrarium","haworthia-pot","A compact zebra haworthia succulent with white striped pointed leaves in a plain terracotta pot","needs_alpha","_needs-alpha/terrarium-workshop/haworthia-pot.png","84951F0223D3A11943C47EC9815C9076B91A2C8462007B8D61E47ABA323FB1BC",
"terrarium-workshop","Làm terrarium","closed-jar-terrarium","A closed glass jar terrarium containing moss, a tiny fern and layers of soil","needs_alpha","_needs-alpha/terrarium-workshop/closed-jar-terrarium.png","95F1B6D93E153A340C4F3C4DD1CC82E3004E2C94AB6230877A256421F6CA1E75",
"terrarium-workshop","Làm terrarium","terrarium-tweezers","A pair of long slender curved terrarium tweezers","missing",,,
"terrarium-workshop","Làm terrarium","terrarium-mister","A small ribbed amber glass plant mister with a brass spray top","missing",,,
"terrarium-workshop","Làm terrarium","terrarium-pebbles","A small open kraft pouch spilling a few smooth decorative terrarium pebbles","missing",,,
"terrarium-workshop","Làm terrarium","terrarium-moss","A rounded cushion of lush green terrarium moss on a thin soil base","missing",,,
"terrarium-workshop","Làm terrarium","terrarium-charcoal","A small wooden scoop holding several irregular black activated charcoal chunks","missing",,,
"terrarium-workshop","Làm terrarium","terrarium-funnel","A small copper funnel with a long narrow stem for arranging terrarium substrate","missing",,,
"succulent-collection","Bộ sưu tập sen đá","haworthia-pot","A compact zebra haworthia succulent with white striped pointed leaves in a plain terracotta pot","needs_alpha","_needs-alpha/succulent-collection/haworthia-pot.png","84951F0223D3A11943C47EC9815C9076B91A2C8462007B8D61E47ABA323FB1BC",
"succulent-collection","Bộ sưu tập sen đá","echeveria-pot","A pale blue green echeveria succulent with a broad layered rosette in a cream pot","missing",,,
"succulent-collection","Bộ sưu tập sen đá","jade-plant-pot","A compact jade plant with thick oval green leaves in a muted blue pot","missing",,,
"succulent-collection","Bộ sưu tập sen đá","string-of-pearls-pot","A string of pearls succulent with dangling round green beads in a hanging cream pot","missing",,,
"succulent-collection","Bộ sưu tập sen đá","lithops-pot","A small cluster of split pebble shaped lithops plants in a shallow sand filled pot","missing",,,
"succulent-collection","Bộ sưu tập sen đá","burros-tail-pot","A burro's tail succulent with thick cascading braided stems in a blush pot","missing",,,
"succulent-collection","Bộ sưu tập sen đá","panda-plant-pot","A fuzzy pale green panda plant with brown edged oval leaves in a gray pot","missing",,,
"succulent-collection","Bộ sưu tập sen đá","aeonium-pot","A dark burgundy aeonium succulent with a tall stem and flat rosette in a beige pot","missing",,,
"snorkeling","Lặn ngắm san hô","staghorn-coral","A single muted golden staghorn coral colony with thick branching antler shapes","missing",,,
"snorkeling","Lặn ngắm san hô","snorkel-mask","A teal snorkeling mask with two clear lenses and a soft silicone nose pocket","missing",,,
"snorkeling","Lặn ngắm san hô","snorkel-tube","A curved orange snorkeling tube with a black mouthpiece and splash guard","missing",,,
"snorkeling","Lặn ngắm san hô","swim-fins","A pair of turquoise short snorkeling fins","missing",,,
"snorkeling","Lặn ngắm san hô","dive-rashguard","A blue long sleeved snorkeling rashguard laid flat with simple coral colored side panels","missing",,,
"snorkeling","Lặn ngắm san hô","surface-marker-buoy","An inflated orange snorkeling safety buoy with a short coiled tether","missing",,,
"snorkeling","Lặn ngắm san hô","underwater-camera","A compact underwater camera inside a clear waterproof housing with a wrist strap","missing",,,
"snorkeling","Lặn ngắm san hô","reef-id-slate","A waterproof snorkeling identification slate displaying three small reef fish icons, no writing","missing",,,
"coral-restoration","Vườn ươm san hô","staghorn-coral","A single muted golden staghorn coral colony with thick branching antler shapes","missing",,,
"coral-restoration","Vườn ươm san hô","brain-coral","A round beige brain coral with clear softly winding grooves","missing",,,
"coral-restoration","Vườn ươm san hô","table-coral","A broad flat terracotta table coral raised on a short branching trunk","missing",,,
"coral-restoration","Vườn ươm san hô","coral-nursery-tree","A small underwater coral nursery frame with several hanging coral fragments","missing",,,
"coral-restoration","Vườn ươm san hô","coral-frag-plug","A single pink coral fragment attached to a round white propagation plug","missing",,,
"coral-restoration","Vườn ươm san hô","coral-cement-bucket","A small coral restoration bucket holding pale putty with a short wooden spatula","missing",,,
"coral-restoration","Vườn ươm san hô","coral-monitoring-quadrat","A square yellow reef survey quadrat frame with a simple internal grid","missing",,,
"coral-restoration","Vườn ươm san hô","coral-cleaning-brush","A small hand brush with aqua handle and stiff pale bristles for coral nursery care","missing",,,
"post-office","Bưu điện","wax-seal-stamp","A wooden handled wax seal stamp standing beside one simple red circular wax seal","missing",,,
"post-office","Bưu điện","postal-mailbox","A freestanding red postal collection box with a curved top and envelope emblem","missing",,,
"post-office","Bưu điện","postal-satchel","A worn brown postal delivery satchel with two envelopes peeking out","missing",,,
"post-office","Bưu điện","postal-parcel","A kraft paper parcel neatly tied with cream twine and a blank cream label","missing",,,
"post-office","Bưu điện","postage-stamp-sheet","A perforated sheet of six pastel postage stamps showing simple flower icons, no writing","missing",,,
"post-office","Bưu điện","postal-scale","A small vintage postal weighing scale with a cream dial and brass tray","missing",,,
"post-office","Bưu điện","airmail-envelope","A closed airmail envelope with a red and blue striped edge and blank address area","missing",,,
"post-office","Bưu điện","postmark-stamper","A short black handled round postal rubber stamper with a red ink pad","missing",,,
"calligraphy-desk","Bàn thư pháp","wax-seal-stamp","A wooden handled wax seal stamp standing beside one simple red circular wax seal","missing",,,
"calligraphy-desk","Bàn thư pháp","calligraphy-dip-pen","A walnut calligraphy dip pen with a small brass pointed nib","missing",,,
"calligraphy-desk","Bàn thư pháp","calligraphy-ink-bottle","A squat dark indigo ink bottle with a simple cork stopper and a tiny ink droplet","missing",,,
"calligraphy-desk","Bàn thư pháp","calligraphy-brush","A tapered calligraphy brush with a bamboo shaft and dark pointed bristles","missing",,,
"calligraphy-desk","Bàn thư pháp","calligraphy-inkstone","An oval dark slate inkstone with a shallow glossy ink well","missing",,,
"calligraphy-desk","Bàn thư pháp","calligraphy-paper-scroll","A partly unrolled cream calligraphy paper scroll, blank without writing","missing",,,
"calligraphy-desk","Bàn thư pháp","calligraphy-pen-rest","A small ceramic mountain shaped brush rest in pale blue","missing",,,
"calligraphy-desk","Bàn thư pháp","calligraphy-nib-tin","An open shallow metal tin holding four differently shaped calligraphy nibs","missing",,,
"science-laboratory","Phòng thí nghiệm","glass-thermometer","A slender glass thermometer with a red liquid column and simple tick marks, no numbers","missing",,,
"science-laboratory","Phòng thí nghiệm","lab-microscope","A compact cream laboratory microscope with a black stage and twin objective lenses","missing",,,
"science-laboratory","Phòng thí nghiệm","lab-test-tube-rack","A wooden rack holding four test tubes filled with muted colored liquids","missing",,,
"science-laboratory","Phòng thí nghiệm","lab-erlenmeyer-flask","A clear Erlenmeyer flask holding pale violet liquid with a few small bubbles","missing",,,
"science-laboratory","Phòng thí nghiệm","lab-petri-dish","A closed transparent petri dish containing a few softly colored circular colonies","missing",,,
"science-laboratory","Phòng thí nghiệm","lab-pipette","A laboratory transfer pipette with a teal rubber bulb and one small blue droplet","missing",,,
